49,06/04/1966,1960s,11:00,Clayton South,Victoria,Australia,-37.94133745,145.1251909,Disk,"1966 Westall UFO: 200+ witnesses at a Melbourne school saw a silver disc descend, land briefly, then speed away.",N,https://nuforc.org/sighting/?id=197345
50,24/04/1966,1960s,14:30,Calipatria,CA,USA,33.12542195,-115.5144995,Oval,As I came walking towards the intersection of Barbara and Hiway 111 I noticed the craft slowly descending from the sky,N,https://nuforc.org/sighting/?id=197029
51,16/08/1966,1960s,19:30,Matawan,NJ,USA,40.407995,-74.23564164,Oval,Directly under craft. So close you can throw a rock at it. No noise. Huge. Hovering. 3 lights underneath. Windows or lights around rim.,N,https://nuforc.org/sighting/?id=196358
52,18/08/1966,1960s,15:00,Nr. Town of Porthmadog (UK/Wales),[UNSPECIFIED],United Kingdom,52.92832257,-4.13435388,Cigar,"Silver colour, no sound, completely still but could move backwards, forwards and sideways watched 5 mins or more then just disappeared",N,https://nuforc.org/sighting/?id=165578
53,27/08/1966,1960s,20:45,Fort Smith,AR,USA,35.38496681,-94.42110605,Disk,"Hovering, round noiseless aircraft with round light in center hovering low over my car.",N,https://nuforc.org/sighting/?id=179081
54,12/10/1966,1960s,09:00,Islip,NY,USA,40.72967939,-73.2103408,Disk,I was 9 years old and it was daytime. We saw a silver disc directly over head. Many people saw it.,N,https://nuforc.org/sighting/?id=188591
55,15/10/1966,1960s,01:00,Mosquito Hill,South Australia,Australia,-35.41688499,138.6899624,Disk,Craft was hovering a few metres above a group of 121 cows. Little sound and a faint glow.,N,https://nuforc.org/sighting/?id=192410
56,16/10/1966,1960s,02:10,Mount Compass--Mosquito Hill,South Australia,Australia,-35.33914071,138.6652355,Disk,"UFO was stationary, hovering about 20 metres above a herd of cows about 100 metres away.",N,https://nuforc.org/sighting/?id=177300
57,10/11/1966,1960s,05:30,Fort Johnson South,LA,USA,31.0470947,-93.20424868,Cigar,Observed iridescent light blue cigar shaped object slowly traveling from my right to left while in basic training at 5:30 AM.,N,https://nuforc.org/sighting/?id=184559
58,30/12/1966,1960s,07:15,[UNSPECIFIED],TX,USA,31.53018326,-99.10331104,Disk,Saw out of the window a very large hot pink glowing saucer on the gro.und. Watched for some minutes until is levitated and away,Y,https://nuforc.org/sighting/?id=181307
59,16/03/1967,1960s,08:45,Hilger,MT,USA,47.25388191,-109.3598752,Oval,Glowing red-orange oval hovered over Echo Flight LCF gate; all 10 Minuteman ICBMs went offline within seconds; object departed.,N,https://nuforc.org/sighting/?id=197104
60,15/04/1967,1960s,19:00,East Stroudsburg,PA,USA,41.00244445,-75.1819667,Circle,"From nw to se. moving slowly and rotating. Very low, less than 1000 feet.",N,https://nuforc.org/sighting/?id=196964
61,01/05/1967,1960s,04:57,Fortuna,ND,USA,48.91005097,-103.779456,Unknown,I was stationed at Fortuna AFS 1966-67. One night Minot AFB called our site to verity an aircraft. We verified it.,Y,https://nuforc.org/sighting/?id=197052
62,15/05/1967,1960s,00:00,Trail,BC,Canada,49.09682656,-117.7118203,Disk,"Saucer-shaped object hovered outside my bedroom window, about 6' from my bed, after midnight",Y,https://nuforc.org/sighting/?id=190912
63,26/05/1967,1960s,19:00,"open desert between Gila Bend and Crater Range, near GB AF",AZ,USA,32.77294879,-112.8150276,Disk,Atop a hill set a saucer with its doorway open emitting a bright light which formed a triangle.,N,https://nuforc.org/sighting/?id=176099
64,30/06/1967,1960s,22:00,out at sea east coast U.S.,[UNSPECIFIED],Internatonal Waters,32.20021786,-73.20001073,Light,UFO spotted by U.S Navy ship out at sea in the year of 1967.,N,https://nuforc.org/sighting/?id=124892
65,20/07/1967,1960s,20:00,Spartanburg,SC,USA,34.9517827,-81.93285662,Circle,We saw a large silver object that had another level above it. Bright lights around the circular part.,N,https://nuforc.org/sighting/?id=187023
66,17/08/1967,1960s,19:00,Marion,MA,USA,41.7029703,-70.76553517,Rectangle,A rectangular craft hovered silently never moving for about 10 minutes with some sort of occupant,N,https://nuforc.org/sighting/?id=176647
67,01/09/1967,1960s,17:00,La Puente,CA,USA,34.02021701,-117.9489191,Disk,Space craft with an alien being standing on top,N,https://nuforc.org/sighting/?id=177654
68,03/09/1967,1960s,21:00,Crestone (near Alamosa),CO,USA,37.9964505,-105.6997418,Fireball,"Saw 3 house size balls of fire come straight down, turn to fly horizontal straight at us for 40 miles in 3-4 seconds then pass out of s",N,https://nuforc.org/sighting/?id=4192
69,19/10/1967,1960s,22:00,Louisville,KY,USA,38.24633322,-85.76665108,Oval,Cigar shaped craft low altitude filled the entire sky,N,https://nuforc.org/sighting/?id=177410
70,04/02/1968,1960s,23:30,Crestline,CA,USA,34.24207938,-117.2855613,Disk,Disk seen from wooded area with view of lake adjacent to Thousand Pines Camp,N,https://nuforc.org/sighting/?id=198558
71,17/04/1968,1960s,19:30,Washington,DC,USA,38.90660227,-77.03816489,Sphere,"From my backyard at night, we saw a large hovering saucer-shaped object with blue, red, green, and white lights. It made no sound.",N,https://nuforc.org/sighting/?id=195493
72,11/05/1968,1960s,22:00,Stoughton,WI,USA,42.91767974,-89.21911348,Sphere,Glowing red sphere following directly behind our vehicle for a few miles,N,https://nuforc.org/sighting/?id=196508
73,01/06/1968,1960s,20:30,Wytheville,VA,USA,36.94846974,-81.08503429,Circle,Hovering right above me > round dome with Lights,N,https://nuforc.org/sighting/?id=177067
